Genus,Species,Number,ID,EASF,LT1,LT2,LT3,ET1,ET2,ET3,MT1,MT2,MT3,SA1,IAS1,SA2,IAS2,SA3,IAS3,ST1,ST2,ST3,PT1,PT2,PT3,SP1,SP2,SP3,PA1,IAP1,PA2,IAP2,PA3,IAP3,DI1,HI1,DI2,HI2,DI3,HI3
T,d,1,Ta_di_1,30,222.087,202.427,179.126,16.83,19.864,17.482,184.004,114.826,188.845,2851.353,407.967,2799.745,375.389,3281.176,834.787,122.33,141.99,123.786,70.058,58.981,42.415,206.371,153.533,184.476,1397.163,283.427,1722.653,324.43,1433.688,364.49,18.041,34.654,18.67,37.476,17.192,29.897
T,d,2,Ta_di_2,50,276.373,234.507,251.079,17.621,10.779,15.438,95.762,237.57,232.336,3896.176,1596.774,3658.299,1400.572,3205.021,1243.47,125.855,162.125,48.542,99.607,61.01,68.706,116.49,127.029,68.938,2832.986,1237.851,2025,782.7,3879.084,1036.498,13.548,38.71,17.918,49.274,21.116,41.855
T,d,3,Ta_di_3,40,271.121,285.694,203.379,21.241,13.075,18.178,238.99,134.86,233.049,3055.186,1161.29,2180.936,1449.267,2684.896,1733.961,96.864,206.225,179.76,83.101,41.829,31.533,139.63,129.911,224.898,2206.497,713.846,2368.543,926.311,1182.161,495.987,10.95,28.504,17.467,43.179,14.441,38.614
T,d,4,Ta_di_4,45,179.639,224.695,234.578,18.778,12.926,20.042,129.157,208.104,171.05,1730.238,668.373,1811.65,714.226,3493.696,1132.749,118.132,87.481,111.409,61.06,64.755,76.687,132.666,119.299,84.156,1853.058,738.79,1853.058,965.48,2246.783,845.234,13.629,47.163,18.368,49.233,15.969,34.355
T,d,5,Ta_di_5,55,206.602,172.478,224.096,20.43,22067,16.036,165.642,164.261,143.854,2380.114,1631.575,1379.077,781.117,4763.585,2566.748,100.076,105.329,95.861,61.251,34.292,54.75,116.55,210.16,136.176,2553.61,398.306,2104.404,716.078,2929.647,1284.523,10.426,27.504,21.614,68.508,17.902,33.856
T,d,6,Ta_di_6,60,274.185,273.252,320.476,13.397,19.83,15.579,223.921,300.212,173.19,4906.766,1914.63,3705.104,2366.916,2622.232,1280.543,169.799,121.877,237.19,65.667,60.435,67.113,161.707,175.016,137.773,1932.601,1072.837,2241.359,1064.202,4906.766,2655.138,14.177,37.758,17.633,34.026,8.937,29.227
P,e,29,Pi_el_29,60,753.737,289.381,535.913,39.22,27.84,25.894,103.289,140.958,117.241,3256.478,2513.243,4014.686,2134.725,3953.627,1801.123,103.701,93.313,92.102,56.613,54.12,38.366,107.014,197.449,166.458,2201.164,1017.649,3596.865,1468.924,2987.211,1184.216,17.473,46.445,14.931,36.413,15.364,33.069
P,e,27,Pi_el_27,55,667.3,334.778,608.024,36.353,28.47,33.267,121.346,110.205,115.735,5945.711,3824.764,6533.778,1898.911,3925.098,2459.109,85.783,163.552,59.486,55.201,53.57,40.539,159.238,158.485,239.452,2416.374,1146.407,3112.208,1004.268,1341.501,484.018,12.832,50.459,12.075,34.942,11.611,40.212
P,e,26,Pi_el_26,50,707.93,299.026,473.363,28.875,26.645,25.508,123.581,125.652,119.056,5239.329,2919.088,5591.029,1709.491,1419.87,975.985,101.564,57.397,56.865,48.464,45.091,55.914,210.257,136.026,142.946,1932.601,924.642,2722.117,1483.349,2469.369,493.127,14.043,48.476,19.816,41.451,17.874,34.303
P,e,28,Pi_el_28,55,675.857,182.634,457.286,22.614,28.574,19.942,113.198,119.91,80.761,3871.981,2657.352,5697.667,1405.994,1811.65,1465.415,59.608,91.454,118.988,98.509,90.021,127.705,160.078,97.823,214.753,5336.46,2651.503,6424.76,2486.106,2830.703,1656.312,18.87,46.433,16.133,36.392,18.748,37.56
P,e,30,Pi_el_30,55,571.739,439.635,174.191,22.917,30.128,36.748,123.9,89.969,133.424,2218.944,1314.288,3561.071,710.483,2361.181,731.304,61.867,64.232,53.312,110.554,45.957,53.424,100.187,156.179,148.405,1735.385,314.653,2294.741,872.137,1922.305,417.587,12.585,35.821,11.148,32.014,16.078,46.619
P,e,31,Pi_el_31,50,601.219,229.873,434.693,28.433,29.054,22.685,111.937,101.821,109.422,2932.157,1679.386,4252.375,1185.325,3857.266,2024.085,79.421,67.151,60.464,75.585,82.489,80.689,176.242,139.463,172.56,4720.53,1207.029,3182.338,694.999,2713.482,874.233,13.232,34.225,13.675,43.334,19.379,45.398
J,s,19,Ju_si_19,20,226.164,324.958,337.716,19.003,14.571,21.009,60.384,83.745,69.665,1057.828,375.035,820.294,403.549,589.122,101.683,43.01,55.602,35.086,38.433,54.284,78.377,114.765,97.515,79.629,725.858,241.599,637.195,175.971,1202.458,221.805,18.651,37.459,10.838,47.529,16.651,30.874
J,s,14,Ju_si_14,40,332.305,352.684,430.804,31.168,19.472,27.48,62.967,160.006,93.6,1910.406,1033.91,1854.204,217.445,1651.133,517.132,87.419,151.519,97.603,75.935,55.931,68.247,70.129,76.161,80.634,1171.234,497.75,1452.128,726.388,1848.313,240.185,15.056,37.868,17.858,43.555,15.777,46.825
J,s,15,Ju_si_15,50,249.941,137.02,134.317,22.335,29.122,15.188,66.053,111.549,121.569,1504.5,542.736,1936.514,592.162,1862.053,943.074,78.373,121.747,81.041,63.709,44.837,37.734,96.666,116.566,100.878,1561.447,427.019,1482.285,573.943,1430.215,781.341,29.537,39.558,12.754,30.31,15.095,29.951
J,s,16,Ju_si_16,35,222.318,122.874,199.103,28.906,23.112,16.117,107.402,168.681,63.879,874.725,357.084,1055.265,431.897,660.334,515.82,63.15,52.252,26.787,56.875,45.99,40.753,53.084,79.51,61.109,903.64,283.445,1430.215,527.515,1957.73,427.313,18.748,48.563,12.793,51.828,14.566,34.87
J,s,12,Ju_si_12,30,182.504,126.315,152.456,28.577,18.028,19.008,130.955,108.053,42.125,1470.685,569.033,834.256,266.107,1157.39,226.989,71.681,41.337,54.382,51.962,45.451,49.757,68.977,75.912,54.573,950.196,515.659,1036.207,126.013,691.806,129.312,15.739,37.136,12.774,31.439,14.549,29.285
J,s,17,Ju_si_17,45,262.368,134.586,230.112,32.369,14.778,28.836,79.206,149.534,117.564,1590.009,644.466,2485.657,621.723,1708.724,821.363,87.913,66.925,74.756,40.356,50.782,45.576,62.747,69.7,120.674,1790.354,228.32,1055.265,186.534,1322.02,266.755,10.193,51.974,16.549,43.881,20.18,43.249
